audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
1615,2026-05-02T01:51:05+00:00,2026-05-01T22:51:05-03:00,1,TH-PRIO3-bullish-9855,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"RAIL3,LREN3,SUZB3,PRIO3,VALE3,RENT3,B3SA3"
1620,2026-05-02T01:51:37+00:00,2026-05-01T22:51:37-03:00,2,TH-SUZB3-bullish-14439,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"BBAS3,VBBR3,RENT3,WEGE3,SUZB3,RADL3"
1625,2026-05-02T01:52:07+00:00,2026-05-01T22:52:07-03:00,3,TH-SUZB3-bullish-13205,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"ITUB4,RENT3,BBAS3,SUZB3,JBSS3,VBBR3"
1632,2026-05-02T01:52:39+00:00,2026-05-01T22:52:39-03:00,4,TH-SUZB3-bullish-16962,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"RENT3,JBSS3,ITUB4,LREN3,SUZB3,RADL3"
1637,2026-05-02T01:53:20+00:00,2026-05-01T22:53:20-03:00,5,TH-PETR4-bullish-19531,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"RADL3,JBSS3,LREN3,CMIG4,PETR4,BPAC11,RENT3,HAPV3"
1642,2026-05-02T01:53:43+00:00,2026-05-01T22:53:43-03:00,6,TH-BPAC11-bullish-9028,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"ITUB4,RENT3,BPAC11,BBDC4"
1649,2026-05-02T01:54:22+00:00,2026-05-01T22:54:22-03:00,7,TH-PETR4-bullish-5628,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"HAPV3,PETR4,VALE3,BPAC11,ABEV3,CMIG4,LREN3,BBAS3"
1654,2026-05-02T01:54:48+00:00,2026-05-01T22:54:48-03:00,8,TH-HAPV3-bearish-6808,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"SUZB3,ABEV3,HAPV3,RAIL3,BBAS3,WEGE3"
1659,2026-05-02T01:55:26+00:00,2026-05-01T22:55:26-03:00,9,TH-PETR4-bullish-7832,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"HAPV3,SUZB3,PETR4,VALE3,B3SA3,VBBR3,CMIG4,BBDC4"
1664,2026-05-02T01:56:02+00:00,2026-05-01T22:56:02-03:00,10,TH-PETR4-bullish-9644,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"JBSS3,BPAC11,PETR4,LREN3,WEGE3,HAPV3,SUZB3,VBBR3"
1671,2026-05-02T01:56:34+00:00,2026-05-01T22:56:34-03:00,11,TH-JBSS3-bullish-14115,JBSS3,bullish,BULL_CALL_SPREAD,71.172,3.7713,5.4,"B3SA3,RAIL3,ITUB4,BBDC4,JBSS3,CMIG4,VBBR3,WEGE3"
1676,2026-05-02T01:57:07+00:00,2026-05-01T22:57:07-03:00,12,TH-PRIO3-bullish-19221,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"RENT3,WEGE3,GGBR4,LREN3,VBBR3,PRIO3,JBSS3,HAPV3"
1681,2026-05-02T01:57:30+00:00,2026-05-01T22:57:30-03:00,13,TH-B3SA3-bearish-1294,B3SA3,bearish,BEAR_PUT_SPREAD,70.2572,3.6688,4.1816,"VBBR3,B3SA3,VALE3,BBAS3,BBDC4"
1686,2026-05-02T01:57:58+00:00,2026-05-01T22:57:58-03:00,14,TH-PETR4-bullish-18622,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BPAC11,BBDC4,GGBR4,VALE3,PETR4"
1693,2026-05-02T01:58:20+00:00,2026-05-01T22:58:20-03:00,15,TH-RENT3-bullish-0110,RENT3,bullish,BULL_CALL_SPREAD,70.5084,3.6969,-1.383,"RENT3,BBAS3,B3SA3,WEGE3"
